contact_age_0,contact_age_1,home,work,school,transport,leisure,country,dayofweek
1,43,True,False,False,False,False,IT,0
1,6,True,False,False,False,False,IT,3
1,2,False,False,True,False,False,FI,3
1,0,False,False,False,False,True,BE,6
1,1,False,False,True,False,False,DE,3
1,59,True,False,False,False,False,LU,6
1,35,False,False,True,False,False,LU,4
1,37,True,True,False,False,False,FI,4
1,16,False,False,False,False,True,GB,5
1,32,False,True,False,False,False,LU,3
1,32,False,True,False,False,False,LU,3
1,55,True,False,False,False,False,PL,5
1,32,False,True,False,False,False,LU,3
1,32,False,True,False,False,False,LU,3
1,32,False,True,False,False,False,LU,3
1,32,False,True,False,False,False,LU,3
1,28,False,True,False,False,False,LU,1
1,32,False,True,False,False,False,LU,3
1,12,True,False,False,False,False,FI,6
1,28,False,True,False,False,False,LU,1
1,3,True,False,True,False,False,FI,3
1,18,True,False,False,False,False,BE,6
1,32,False,True,False,False,False,LU,3
1,11,False,False,False,False,True,NL,6
1,22,True,False,False,False,True,DE,3
1,58,False,False,False,False,False,IT,2
1,11,True,False,False,False,False,GB,2
1,13,True,False,False,False,False,NL,0
1,37,True,False,False,False,False,GB,2
1,2,False,False,False,False,False,DE,3
1,60,False,False,False,False,False,NL,0
1,7,True,False,False,False,False,PL,0
1,1,False,False,False,False,True,GB,1
1,32,False,True,False,False,False,LU,3
1,1,False,False,True,False,False,DE,2
1,32,False,True,False,False,False,LU,3
1,5,True,False,False,False,False,FI,3
1,1,True,False,False,False,False,NL,0
1,1,False,False,True,False,False,DE,2
1,47,True,False,False,False,False,GB,6
1,32,False,True,False,False,False,LU,3
1,62,True,False,False,False,False,IT,5
1,31,False,False,False,False,False,LU,1
1,5,False,False,False,False,False,FI,3
1,1,False,False,True,False,False,IT,4
1,1,False,False,True,False,False,IT,4
1,1,False,False,True,False,False,IT,4
1,5,True,False,False,True,False,BE,2
1,60,True,False,False,False,False,PL,6
1,5,True,False,False,False,False,BE,2
1,44,False,True,False,False,False,LU,2
1,3,True,False,False,False,False,BE,1
1,1,False,False,True,False,False,IT,4
1,33,True,False,False,False,False,GB,4
1,44,False,True,False,False,False,LU,2
1,1,False,False,True,False,False,IT,4
1,1,False,False,True,False,False,IT,4
1,55,True,False,False,False,True,DE,3
1,31,False,False,False,False,False,DE,6
1,46,True,False,False,False,False,IT,0
1,1,False,False,True,False,False,IT,4
1,1,False,False,True,False,False,IT,4
1,13,True,False,False,False,False,BE,2
1,13,False,False,False,False,False,GB,3
1,68,False,False,False,False,False,FI,4
1,16,True,False,False,False,False,GB,4
1,3,False,False,True,False,False,GB,5
1,27,True,False,False,False,False,BE,1
1,1,False,False,True,False,False,IT,3
1,1,False,False,True,False,False,IT,3
1,26,True,False,False,False,False,LU,5
1,44,True,False,False,False,False,DE,4
1,18,False,True,False,False,False,LU,1
1,29,True,False,False,False,False,GB,4
1,18,False,True,False,False,False,LU,1
1,20,True,False,False,False,True,DE,5
1,54,True,True,False,False,False,FI,1
1,30,False,False,False,False,True,PL,5
1,30,True,False,False,True,True,FI,0
1,20,True,False,False,False,True,DE,3
1,23,False,False,False,False,False,FI,4
1,23,False,False,False,False,False,FI,4
1,51,True,False,False,False,False,IT,5
1,2,False,False,False,False,True,BE,3
1,41,False,False,False,False,True,PL,1
1,37,False,False,False,False,True,FI,4
1,5,False,False,False,False,False,FI,3
1,1,False,False,True,False,False,LU,2
1,1,False,False,True,False,False,IT,4
1,25,True,False,False,False,False,DE,0
1,1,False,False,False,False,False,IT,4
1,4,True,False,False,False,False,FI,5
1,19,False,False,False,False,False,FI,2
1,13,True,False,False,False,False,BE,2
1,52,False,False,False,False,False,GB,0
1,0,True,False,False,False,False,LU,3
1,8,True,False,False,False,False,GB,1
1,1,False,False,False,False,False,IT,4
1,27,True,False,False,False,False,BE,4
1,1,False,False,False,False,False,PL,2
1,5,True,False,False,False,False,FI,3
1,0,False,False,True,False,False,BE,5
1,37,False,False,True,False,False,BE,1
1,0,False,False,True,False,False,BE,5
1,0,False,False,True,False,False,BE,5
1,6,False,False,False,False,True,IT,0
1,23,True,False,False,False,False,PL,3
1,7,True,False,False,False,False,DE,1
1,1,False,False,False,False,False,IT,4
1,34,True,False,False,False,False,FI,5
1,17,True,False,False,False,False,IT,5
1,4,False,False,True,False,False,FI,5
1,1,False,False,True,False,False,IT,4
1,53,True,False,False,False,False,DE,3
1,48,False,False,False,False,True,PL,4
1,53,True,False,False,False,False,DE,3
1,52,True,False,False,False,False,GB,0
1,38,True,False,True,False,False,IT,1
1,1,False,False,True,False,False,IT,4
1,6,True,False,False,False,False,IT,3
1,53,False,False,False,False,True,DE,3
1,3,True,False,False,False,False,BE,0
1,1,False,False,True,False,False,BE,2
1,2,True,False,False,False,False,LU,1
1,1,False,False,True,False,False,BE,2
1,1,False,False,False,False,False,IT,4
1,32,True,False,False,False,False,PL,0
1,1,False,False,False,False,False,IT,4
1,8,False,False,True,False,False,LU,3
1,1,False,False,False,False,False,IT,4
1,31,False,False,False,False,False,LU,1
1,10,False,False,False,False,False,GB,0
1,24,False,False,False,False,True,BE,6
1,1,False,False,True,False,False,DE,3
1,5,False,False,False,False,True,LU,1
1,6,True,False,False,False,False,DE,1
1,10,True,False,False,False,False,BE,0
1,42,True,False,False,False,False,LU,3
1,6,False,False,False,False,True,DE,4
1,26,True,False,False,False,False,NL,0
1,66,True,False,False,False,False,IT,1
1,37,True,False,False,False,False,LU,3
1,6,False,False,False,False,False,LU,6
1,37,False,False,False,False,True,LU,3
1,58,True,False,False,False,False,BE,5
1,14,False,False,False,False,False,BE,6
1,9,True,False,False,False,False,GB,4
1,3,True,False,False,True,True,FI,2
1,29,True,False,False,False,False,FI,6
1,41,True,False,False,False,False,DE,6
1,8,False,False,False,True,True,GB,1
1,30,False,False,False,False,False,FI,5
1,35,False,False,False,False,False,FI,5
1,0,True,False,False,False,True,FI,3
1,36,True,False,False,False,False,IT,3
1,32,True,False,False,False,False,LU,3
1,60,True,False,False,False,False,IT,1
1,2,False,False,True,False,False,FI,3
1,2,True,False,False,False,False,BE,5
1,33,True,False,False,False,False,FI,5
1,48,False,False,False,False,False,LU,5
1,12,False,False,False,False,True,BE,1
1,3,True,False,False,False,False,FI,5
1,12,True,False,False,False,False,GB,2
1,52,False,False,False,False,False,IT,2
1,62,True,False,False,False,False,LU,0
1,32,False,False,False,False,False,FI,5
1,3,True,False,False,False,False,GB,5
1,9,True,False,False,True,False,FI,6
1,10,True,False,False,False,False,BE,0
1,10,True,False,False,False,False,BE,0
1,12,False,False,False,False,False,IT,5
1,33,True,False,False,False,False,FI,5
1,52,True,False,False,False,True,DE,4
1,5,False,False,True,False,False,FI,2
1,5,False,False,False,False,False,FI,2
1,2,False,False,True,False,False,BE,1
1,6,False,False,False,False,True,FI,2
1,3,True,False,False,False,False,BE,3
1,36,False,False,False,False,True,FI,0
1,35,False,False,False,False,False,FI,0
1,37,True,False,False,False,False,LU,3
1,3,True,False,False,False,False,PL,0
1,32,False,False,False,False,False,FI,0
1,67,True,False,False,False,False,FI,5
1,17,False,True,False,False,False,FI,5
1,32,False,False,True,False,False,BE,4
1,10,True,False,False,False,False,BE,0
1,19,False,False,False,False,True,FI,0
1,19,False,False,False,False,True,FI,0
1,45,False,True,False,False,False,BE,1
1,32,True,False,False,False,False,LU,3
1,27,True,False,False,False,False,FI,0
1,32,False,False,False,False,False,LU,3
1,32,False,False,False,False,False,LU,3
1,32,False,False,False,False,True,FI,0
1,35,True,False,False,False,False,DE,4
1,18,False,False,False,False,True,FI,5
1,46,True,False,False,True,False,FI,0
1,32,True,False,False,False,False,LU,3
1,2,False,False,True,False,False,BE,1
1,2,False,False,True,False,False,BE,1
1,14,True,False,False,False,False,LU,6
1,26,False,False,False,False,True,FI,5
1,12,True,False,False,False,False,PL,3
1,35,True,False,False,True,False,IT,3
1,28,True,False,False,False,False,FI,4
1,8,True,False,False,False,True,LU,5
1,12,True,False,False,False,False,PL,5
1,74,True,False,False,False,False,IT,2
1,24,True,False,False,False,False,FI,5
1,44,False,False,False,False,True,DE,2
1,12,False,False,True,False,False,BE,2
1,12,False,False,True,False,False,BE,2
1,49,False,False,True,False,False,IT,2
1,19,False,False,False,False,True,FI,5
1,45,False,True,False,False,False,BE,1
1,28,False,False,False,False,False,FI,4
1,62,True,False,False,False,False,LU,5
1,28,True,False,False,False,False,NL,4
1,18,True,False,False,False,False,GB,1
1,0,True,False,False,True,False,BE,6
1,1,False,False,True,False,False,DE,3
1,22,False,False,True,False,False,IT,4
1,6,True,False,False,False,False,FI,4
1,19,False,False,False,False,False,IT,0
1,1,False,False,False,False,False,BE,2
1,8,True,False,False,False,False,PL,2
1,30,True,False,False,False,True,LU,4
1,25,True,False,False,False,False,PL,0
1,22,False,False,True,False,False,IT,4
1,41,True,False,False,False,False,DE,5
1,21,True,False,False,False,False,FI,1
1,21,False,False,False,False,False,FI,1
1,26,False,False,False,False,False,FI,1
1,23,False,False,False,False,True,GB,5
1,34,True,False,False,False,False,DE,1
1,63,True,False,False,False,False,IT,4
1,54,False,True,False,False,False,GB,5
1,22,False,False,True,False,False,IT,4
1,62,True,False,False,False,False,BE,6
1,37,True,True,False,False,False,FI,4
1,33,True,False,False,True,False,IT,2
1,10,True,False,False,False,False,GB,0
1,22,False,False,True,False,False,IT,4
1,4,True,False,False,False,False,BE,5
1,10,False,False,False,False,False,GB,0
1,3,True,False,False,False,False,FI,4
1,3,True,False,False,False,False,FI,4
1,4,False,False,False,False,False,BE,5
1,22,False,False,True,False,False,IT,4
1,14,True,False,False,False,False,GB,0
1,3,True,False,False,False,False,FI,4
1,1,False,False,True,False,False,IT,3
1,3,True,False,False,False,False,FI,6
1,1,False,False,True,False,False,DE,3
1,20,True,False,False,False,True,IT,4
1,1,False,False,True,False,False,DE,3
1,5,False,False,True,False,False,FI,4
1,55,False,False,True,False,False,IT,2
1,1,False,False,True,False,False,DE,3
1,35,True,False,False,False,False,IT,2
1,22,False,False,True,False,False,IT,4
1,33,False,False,False,False,False,IT,2
1,2,True,False,False,False,False,GB,6
1,7,False,False,True,False,False,FI,4
1,13,True,False,False,False,False,PL,1
1,13,True,False,False,False,True,PL,1
1,22,False,False,True,False,False,IT,4
1,38,True,False,False,True,True,FI,1
1,31,True,False,False,False,False,IT,0
1,35,False,False,False,False,True,FI,4
1,33,True,False,False,False,False,FI,4
1,22,False,False,True,False,False,IT,4
1,33,True,False,False,False,False,FI,4
1,44,True,False,False,False,False,DE,2
1,27,True,False,False,True,False,LU,4
1,30,True,False,False,False,False,DE,3
1,15,False,False,False,False,False,FI,6
1,30,True,False,False,False,False,DE,3
1,17,True,False,False,False,False,PL,3
1,75,False,False,False,False,False,FI,2
1,65,False,False,False,False,False,FI,5
1,27,True,False,False,False,False,BE,0
1,22,False,False,True,False,False,IT,4
1,25,True,False,False,False,False,DE,1
1,37,False,False,False,False,True,IT,3
1,22,False,False,True,False,False,IT,4
1,0,True,False,False,False,True,DE,1
1,5,True,False,False,False,False,FI,4
1,34,True,False,False,False,False,DE,3
1,5,True,False,False,False,False,GB,4
1,22,True,False,False,False,False,IT,4
1,22,False,False,True,False,False,IT,4
1,36,True,False,False,False,False,DE,2
1,22,False,False,True,False,False,IT,4
1,4,True,False,False,False,False,BE,2
1,22,False,False,True,False,False,IT,4
1,22,False,False,True,False,False,IT,4
1,36,False,False,False,False,False,FI,1
1,22,False,False,True,False,False,IT,4
1,2,True,False,False,False,False,LU,6
1,2,False,False,True,False,False,FI,3
1,34,True,False,False,False,False,IT,3
1,22,False,False,True,False,False,IT,4
1,47,False,False,False,False,False,DE,0
1,26,False,False,False,False,True,LU,3
1,1,False,False,True,False,False,LU,6
1,27,True,False,False,True,False,FI,4
1,21,True,False,False,False,False,GB,4
1,58,True,False,False,False,False,BE,4
1,2,False,False,True,False,False,IT,5
1,3,False,False,True,False,False,IT,5
1,41,True,False,False,False,False,GB,6
1,17,False,False,True,False,False,NL,3
1,32,True,False,False,False,False,GB,6
1,3,True,False,False,False,False,DE,2
1,40,False,False,False,False,False,IT,5
1,5,True,False,False,False,False,GB,1
1,10,True,False,False,False,False,DE,1
1,66,True,False,False,False,False,PL,5
1,15,False,False,True,False,False,BE,5
1,3,True,False,False,False,False,DE,1
1,12,True,False,False,False,False,FI,2
1,12,True,False,False,False,False,FI,2
1,43,False,True,False,False,False,LU,3
1,63,True,False,False,False,False,LU,4
1,5,False,False,False,False,True,IT,0
1,2,False,False,True,False,False,IT,5
1,1,False,False,True,False,False,FI,4
1,2,True,False,False,False,False,GB,2
1,5,True,False,False,False,True,IT,5
1,21,False,False,False,False,False,FI,1
1,32,True,False,False,False,False,BE,6
1,45,True,False,False,False,False,BE,4
1,21,False,False,False,False,False,FI,1
1,45,True,False,False,False,False,BE,4
1,22,False,False,False,False,False,FI,1
1,3,False,False,False,False,False,PL,4
1,1,False,False,True,False,False,FI,1
1,28,True,False,False,False,False,NL,3
1,28,True,False,False,True,False,NL,3
1,37,True,False,False,False,False,IT,3
1,30,True,False,False,False,False,GB,4
1,17,False,False,False,False,True,NL,6
1,3,True,False,False,False,False,FI,2
1,59,False,False,False,False,False,FI,4
1,61,True,False,False,False,False,NL,3
1,5,False,False,False,False,True,IT,5
1,37,True,False,False,False,False,FI,3
1,15,False,False,True,False,False,BE,5
1,15,False,False,True,False,False,BE,5
1,65,True,False,False,False,False,PL,4
1,3,False,False,True,False,False,IT,3
1,51,True,False,False,True,False,GB,6
1,30,False,False,False,False,True,GB,6
1,33,True,False,False,False,False,IT,1
1,15,False,False,True,False,False,BE,5
1,90,True,False,False,False,False,PL,3
1,2,True,False,False,False,False,FI,0
1,4,False,False,False,False,True,GB,6
1,21,False,False,False,False,True,IT,4
1,20,False,False,False,False,True,GB,4
1,1,False,False,False,False,True,PL,6
1,62,False,False,False,False,False,FI,2
1,25,True,False,False,False,False,BE,4
1,33,True,False,False,False,False,IT,1
1,5,True,False,False,True,False,BE,6
1,2,True,False,False,False,False,FI,1
1,55,True,False,False,False,False,PL,1
1,10,False,False,False,False,True,FI,1
1,32,True,False,False,False,False,GB,2
1,8,False,False,False,False,True,NL,6
1,21,False,False,False,False,False,LU,0
1,3,False,False,True,False,False,IT,5
1,15,False,False,True,False,False,BE,5
1,40,True,True,True,False,False,GB,2
1,4,False,False,False,False,False,GB,2
1,2,True,False,False,False,False,PL,5
1,1,False,False,False,False,True,LU,2
1,31,True,False,False,False,True,IT,5
1,3,True,False,False,True,True,IT,5
1,33,True,False,False,True,False,IT,5
1,33,True,False,False,False,False,PL,2
1,43,True,False,False,True,False,GB,6
1,15,False,False,True,False,False,BE,5
1,0,False,False,False,False,False,LU,6
1,32,True,False,False,False,False,IT,3
1,4,True,False,False,True,True,LU,4
1,0,True,False,False,False,False,GB,0
1,0,True,False,False,False,False,GB,0
1,31,True,False,False,False,False,LU,5
1,3,False,False,True,False,False,FI,2
1,40,True,True,False,False,False,GB,2
1,65,True,False,False,False,False,GB,2
1,45,True,False,False,False,False,GB,5
1,1,False,False,True,False,False,FI,1
1,59,False,False,False,True,False,IT,0
1,62,True,False,False,False,False,IT,0
1,36,False,False,True,False,False,BE,3
1,28,True,False,False,False,False,PL,1
1,36,True,False,False,False,False,BE,3
1,61,True,False,False,False,False,BE,6
1,36,True,False,False,False,False,GB,4
1,5,False,False,False,False,True,LU,3
1,5,False,False,False,False,True,LU,3
1,5,False,False,False,False,True,LU,3
1,9,True,False,False,False,False,FI,6
1,2,False,False,True,False,False,LU,5
1,34,True,False,False,False,False,IT,6
1,2,False,False,True,False,False,LU,5
1,2,False,False,True,False,False,LU,5
1,2,False,False,True,False,False,LU,5
1,10,True,False,False,False,True,IT,5
1,26,False,True,False,False,False,LU,2
1,15,True,False,False,False,False,BE,3
1,5,False,False,True,False,False,FI,2
1,56,False,False,False,False,True,GB,0
1,29,True,False,False,False,False,LU,2
1,45,False,True,False,False,False,DE,5
1,56,False,False,False,False,False,GB,0
1,26,False,False,True,False,False,GB,3
1,14,False,False,True,False,False,FI,2
1,1,True,False,False,False,False,IT,5
1,46,False,False,True,False,False,LU,4
1,2,False,False,True,False,False,LU,5
1,46,False,False,True,False,False,LU,4
1,49,True,False,False,False,False,PL,1
1,33,False,False,False,False,False,FI,2
1,40,True,False,False,False,False,BE,0
1,11,True,False,False,False,False,IT,4
1,26,False,False,False,True,False,FI,2
1,5,True,False,False,False,False,IT,5
1,4,True,False,False,False,False,DE,1
1,5,True,False,False,False,False,DE,5
1,3,True,False,False,False,False,IT,5
1,2,False,False,True,False,False,LU,5
1,2,False,False,True,False,False,LU,5
1,2,False,False,True,False,False,LU,5
1,32,True,False,False,False,False,FI,0
1,2,True,False,False,False,False,GB,2
1,24,True,False,False,False,False,GB,2
1,15,True,False,False,False,False,FI,6
1,1,True,False,False,False,False,DE,1
1,4,False,False,False,False,True,FI,5
1,1,False,False,False,False,True,FI,6
1,3,True,False,False,False,False,PL,5
1,8,True,False,False,True,False,BE,5
1,26,False,False,False,False,True,LU,6
1,39,True,False,False,False,False,IT,0
1,60,True,False,False,False,False,GB,2
1,7,True,False,False,False,False,PL,2
1,16,False,False,False,False,False,FI,5
1,55,False,False,False,False,False,IT,1
1,23,True,False,False,False,False,FI,0
