"","location_code","S","E","I","Ia","R"
"219","municip4211",2511,0,0,0,0
"220","municip4212",2104,0,0,0,0
"221","municip4213",6051,0,0,0,0
"222","municip4214",5713,0,0,0,0
"223","municip4215",10702,0,0,0,0
"224","municip4216",5178,0,0,0,0
"225","municip4217",1856,0,0,0,0
"226","municip4218",1342,0,0,0,0
"227","municip4219",3614,0,0,0,0
"228","municip4220",1200,0,0,0,0
"229","municip4221",1246,0,0,0,0
"230","municip4222",952,0,0,0,0
"231","municip4223",14425,0,0,0,0
"232","municip4224",937,0,0,0,0
"233","municip4225",10353,0,0,0,0
"234","municip4226",1702,0,0,0,0
"235","municip4227",5988,0,0,0,0
"236","municip4228",1836,0,0,0,0
"237","municip4601",278556,0,0,0,0
"238","municip4602",18030,0,0,0,0
"239","municip4611",4135,0,0,0,0
"240","municip4612",5656,0,0,0,0
"241","municip4613",11806,0,0,0,0
"242","municip4614",18821,0,0,0,0
"243","municip4615",3189,0,0,0,0
"244","municip4616",2847,0,0,0,0
"245","municip4617",13241,0,0,0,0
"246","municip4618",11510,0,0,0,0
"247","municip4619",921,0,0,0,0
"248","municip4620",1131,0,0,0,0
"249","municip4621",15447,0,0,0,0
"250","municip4622",8423,0,0,0,0
"251","municip4623",2488,0,0,0,0
"252","municip4624",24047,0,0,0,0
"253","municip4625",5156,0,0,0,0
"254","municip4626",37175,0,0,0,0
"255","municip4627",28821,0,0,0,0
"256","municip4628",4123,0,0,0,0
"257","municip4629",383,0,0,0,0
"258","municip4630",8026,0,0,0,0
"259","municip4631",28880,0,0,0,0
"260","municip4632",2884,0,0,0,0
"261","municip4633",587,0,0,0,0
"262","municip4634",1710,0,0,0,0
"263","municip4635",2371,0,0,0,0
"264","municip4636",794,0,0,0,0
"265","municip4637",1438,0,0,0,0
"266","municip4638",4190,0,0,0,0
"267","municip4639",2722,0,0,0,0
"268","municip4640",11561,0,0,0,0
"269","municip4641",1787,0,0,0,0
"270","municip4642",2159,0,0,0,0
"271","municip4643",5363,0,0,0,0
"272","municip4644",5151,0,0,0,0
"273","municip4645",3065,0,0,0,0
"274","municip4646",2862,0,0,0,0
"275","municip4647",21872,0,0,0,0
"276","municip4648",3847,0,0,0,0
"277","municip4649",8855,0,0,0,0
"278","municip4650",5783,0,0,0,0
"279","municip4651",7218,0,0,0,0
"280","municip5001",196514,0,0,0,0
"281","municip5006",24487,0,0,0,0
"282","municip5007",15272,0,0,0,0
"283","municip5014",4937,0,0,0,0
"284","municip5020",978,0,0,0,0
"285","municip5021",6973,0,0,0,0
"286","municip5022",2556,0,0,0,0
"287","municip5025",5623,0,0,0,0
"288","municip5026",2046,0,0,0,0
"289","municip5027",6319,0,0,0,0
"290","municip5028",16213,0,0,0,0
"291","municip5029",8000,0,0,0,0
"292","municip5031",13820,0,0,0,0
"293","municip5032",4098,0,0,0,0
"294","municip5033",861,0,0,0,0
"295","municip5034",2508,0,0,0,0
"296","municip5035",23625,0,0,0,0
"297","municip5036",2630,0,0,0,0
"298","municip5037",19892,0,0,0,0
"299","municip5038",14849,0,0,0,0
"300","municip5041",2159,0,0,0,0
"301","municip5042",1389,0,0,0,0
"302","municip5043",469,0,0,0,0
"303","municip5044",872,0,0,0,0
"304","municip5045",2467,0,0,0,0
"305","municip5046",1264,0,0,0,0
"306","municip5047",3840,0,0,0,0
"307","municip5049",1090,0,0,0,0
"308","municip5052",584,0,0,0,0
"309","municip5053",6800,0,0,0,0
"310","municip5054",10108,0,0,0,0
"311","municip5055",6840,0,0,0,0
"312","municip5056",5641,0,0,0,0
"313","municip5057",10113,0,0,0,0
"314","municip5058",4222,0,0,0,0
"315","municip5059",18544,0,0,0,0
"316","municip5060",9556,0,0,0,0
"317","municip5061",2026,0,0,0,0
"318","municip5401",74541,0,0,0,0
"319","municip5402",24845,0,0,0,0
"320","municip5403",20446,0,0,0,0
"321","municip5404",2104,0,0,0,0
"322","municip5405",6154,0,0,0,0
"323","municip5406",11554,0,0,0,0
"324","municip5411",2986,0,0,0,0
"325","municip5412",4300,0,0,0,0
"326","municip5413",1394,0,0,0,0
"327","municip5414",1121,0,0,0,0
"328","municip5415",1076,0,0,0,0
"329","municip5416",3994,0,0,0,0
"330","municip5417",2220,0,0,0,0
"331","municip5418",6781,0,0,0,0
"332","municip5419",3496,0,0,0,0
"333","municip5420",1138,0,0,0,0
"334","municip5421",15072,0,0,0,0
"335","municip5422",5685,0,0,0,0
"336","municip5423",2273,0,0,0,0
"337","municip5424",2876,0,0,0,0
"338","municip5425",1890,0,0,0,0
"339","municip5426",2132,0,0,0,0
"340","municip5427",2912,0,0,0,0
"341","municip5428",4919,0,0,0,0
"342","municip5429",1233,0,0,0,0
"343","municip5430",2938,0,0,0,0
"344","municip5432",968,0,0,0,0
"345","municip5433",1037,0,0,0,0
"346","municip5434",1204,0,0,0,0
"347","municip5435",3291,0,0,0,0
"348","municip5436",3971,0,0,0,0
"349","municip5437",2696,0,0,0,0
"350","municip5438",1330,0,0,0,0
"351","municip5439",1137,0,0,0,0
"352","municip5440",991,0,0,0,0
"353","municip5441",2911,0,0,0,0
"354","municip5442",951,0,0,0,0
"355","municip5443",2267,0,0,0,0
"356","municip5444",10199,0,0,0,0
